# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
LC|2002|0|0|0|0|723027643.082723
LC|2003|0|0|0|0|781338352.904771
LC|1994|0|0|0|0|517566663.452036
LC|2000|0|0|0|0|764457723.425116
LC|2001|0|0|0|0|708290496.305954
LC|1979|0|0|0|0|103444442.61755
LC|2005|0|0|0|0|908558306.769096
LC|1998|0|0|0|0|657529594.313535
LC|2006|0|0|0|0|1018069266.61284
LC|2004|0|0|0|0|858255380.398219
LC|2007|0|0|0|0|1132407669.55652
LC|2008|0|0|0|0|1174876792.07407
LC|2009|0|0|0|0|1173930131.2963
LC|2011|0|0|0|0|1259078381.85185
LC|2010|0|0|0|0|1208853571.11111
LC|2012|0|0|0|0|1238640740.74074
LC|1995|256|0|256|0|560811083.429052
LC|1999|0|0|0|0|692507395.177286
LC|1997|0|0|0|0|604411088.584974
LC|1996|0|0|256|0|566370360.367909
LC|1991|0|0|0|0|431470356.824403
LC|1990|0|0|0|0|397192573.726067
LC|1993|0|0|0|0|492029620.940073
LC|1992|0|0|0|0|477996270.0768
LA|2010|2704|2|52880|10|7181441151.89789
LA|1986|0|0|0|0|1776842040.58947
LA|1987|0|0|0|0|1087273076.38861
LA|1984|0|0|0|0|1757142805.94286
LA|1985|0|0|0|0|2366666615.46667
LA|1988|0|0|0|0|598961279.420607
LA|1989|0|0|0|0|714046803.194308
LA|1995|0|0|0|0|1763536299.22391
LA|2003|4096|1|16384|2|2023324407.30177
LA|2000|0|1|8192|1|1731198022.45212
LA|2001|0|0|8192|1|1768619058.34647
LA|2011|2048|0|54928|10|8254088066.90641
LA|2005|4096|2|20480|4|2735550176.99656
LA|2006|2048|1|22528|5|3452895836.27301
LA|2004|0|0|16384|2|2366398119.88556
LA|2007|0|1|22528|6|4222945529.64181
LA|2008|18432|0|40960|6|5443930124.55076
LA|2009|9216|2|50176|8|5832882921.50595
LA|1999|8192|0|8192|0|1454430642.01692
LA|1998|0|0|0|0|1280177847.19482
LA|2012|1088|2|56016|12|9417665585.95006
LA|2002|4096|0|12288|1|1758176653.07746
LA|1994|0|0|0|0|1543606381.86909
LA|1997|0|0|0|0|1747011884.41192
LA|1996|0|0|0|0|1873671510.57399
LA|1991|0|0|0|0|1028087947.26262
LA|1990|0|0|0|0|865559856.19781
LA|1993|0|0|0|0|1327748654.64293
LA|1992|0|0|0|0|1127806917.73818
WS|1982|0|0|0|0|108006925.400911
WS|1983|0|0|0|0|99668848.7703468
WS|1986|0|0|0|0|89947043.6814587
WS|1987|0|0|0|0|99540468.2072057
WS|1984|0|0|0|0|97298513.646199
WS|1985|0|0|0|0|85156795.763562
WS|1988|0|0|0|0|118518518.735985
WS|1989|0|0|0|0|109494843.260224
WS|2010|2128|1|15472|4|572160378.287853
WS|2003|0|0|0|0|301905953.023492
WS|2000|0|0|0|0|239698992.443325
WS|2001|0|1|8192|1|243324190.253866
WS|2011|1024|0|16496|4|630129114.003581
WS|2005|0|0|0|0|412220560.259923
WS|2006|0|0|0|0|453082900.112909
WS|2002|0|0|8192|1|256677700.108988
WS|2004|0|0|0|0|374507187.856928
WS|2007|3072|2|11264|3|490916834.706904
WS|2008|1024|0|12288|3|573946224.503845
WS|2009|1056|0|13344|3|500992499.165598
WS|1999|0|0|8192|0|230621434.542609
WS|1998|8192|0|8192|0|240113812.860111
WS|2012|1328|1|17824|5|683719606.266704
WS|1995|0|0|0|0|200357402.765424
WS|1994|0|0|0|0|197000394.477318
WS|1997|0|0|0|0|254361347.160661
WS|1996|0|0|0|0|222670196.526931
WS|1991|0|0|0|0|111908235.967066
WS|1990|0|0|0|0|112058888.22303
WS|1993|0|0|0|0|118613703.553059
WS|1992|0|0|0|0|117883207.849366
IO|2000|1024|1|1024|1|0
IO|2006|2048|0|3072|1|0
IN|2005|1018238|27|5746174|110|834215013542.689
IN|2004|2351456|18|4727936|83|721585608172.395
IN|1968|0|0|0|0|54016411986.6667
IN|1969|0|0|0|0|59472993626.6667
IN|1964|0|0|0|0|57470781032.781
IN|1965|0|0|0|0|60599264111.7178
IN|1966|0|0|0|0|46669801600
IN|1967|0|0|0|0|51014155360
IN|1961|0|0|0|0|39920452403.4524
IN|1962|0|0|0|0|42900864969.865
IN|1963|0|0|0|0|49271095508.0955
IN|2006|2153056|32|7899230|142|949116769688.063
IN|2011|5967983|71|34720809|487|1872840195945.11
IN|2010|9417804|72|28752826|416|1710908768959.8
IN|2012|106344|127|34827153|614|1841709755679.17
IN|1982|0|0|0|0|204234366418.556
IN|1983|0|0|0|0|222090283308.417
IN|1980|0|0|0|0|189594121313.864
IN|1981|0|0|0|0|196883474545.743
