Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Japan,JPN,4432599282922.53,4731198760271.14,4159859918093.56,3980819536159.76,4302939184963.79,4655803055650.55,4571875737175.42,4356761451087.28,4356329296669.33,4849208099923.57,5035141567658.9,5495379357484.62,5896794887858.66,5959718262199.13,
Kazakhstan,KAZ,16870817134.7767,18291990619.137,22152689129.5583,24636598581.0204,30833692831.3955,43151647002.6096,57123671733.8952,81003864915.5437,104849915343.555,133441649221.732,115308687201.97,148052371903.631,188049986359.296,203520610287.707,
Kenya,KEN,12896010520.4958,12705350153.4012,12985991722.969,13147736954.17,14904504019.398,16095321630.6659,18737895400.78,22504136042.2252,27236739895.9373,30465489796.0539,30580367979.309,32198151217.2214,33620684015.8403,40697163224.2519,
Kyrgyz Republic,KGZ,1249062025.13805,1369691955.02213,1525113501.11034,1605640633.42189,1919012780.97086,2211535311.62834,2459876151.9333,2834168889.42019,3802566170.81543,5139957784.91084,4690029460.84784,4794361821.20611,6198838460.02869,6474843799.06064,
Cambodia,KHM,3517242477.23368,3654031716.27649,3979813387.83958,4284028138.34851,4658246906.65795,5337833255.9454,6293046162.11399,7274424518.56764,8639164917.03737,10351829065.6013,10401935531.8245,11242266333.9246,12829541141.0175,14038383450.1945,
Kiribati,KIR,70596128.7050497,67512714.5176252,63101272.3699183,72259045.9632728,90148518.0621311,102220914.840418,106147384.4979,104668674.698795,123005089.649373,135044455.62825,127125253.470597,150431113.557145,172253739.040743,174984468.834127,
St. Kitts and Nevis,KNA,305008729.111103,416566954.43505,455905601.704812,478067954.111618,461576906.469689,497548516.54631,536410666.378498,629511777.660199,689461859.082924,740102893.740741,688867558.148148,675553707.777778,699130559.62963,767000000,
"Korea, Rep.",KOR,445399303511.045,533384027728.655,504585783003.741,575928909990.488,643762388701.001,721975255823.7,844863004335.43,951773478984.908,1049235951186.97,931402204981.625,834060441840.978,1014890141871.14,1114471962886.14,1129598273324.48,
Kosovo,KSV,,1849196082.05507,2535333631.88536,2702427046.9355,3355083116.58939,3639935347.50715,3743116980.19185,3918176307.9609,4743437688.75329,5771473141.64198,5634824257.47516,5750799436.89847,6636703417.89962,6445201980.60846,
Kuwait,KWT,30120888963.6806,37718011468.5749,34890773740.2178,38138801497.2458,47875837662.1539,59440511981.7576,80797945205.4795,101561153806.389,114721830985.916,147402413798.235,105911338608.398,119934674734.616,160912705745.772,,
